name,calories(kcal),protein(g),fat(g),carbohydrate(g),sugars(g),dietary fiber(g),Na(mg)
rice,197 ,5.01,4.70,34.08,0.40,4.9,1.00
pork,203 ,19.45,12.84,0,0,0,50.00
beef,269 ,17.88,20.60,0,0,0,51.00
kimchi,38 ,1.98,0.43,6.49,2.40,2.5,551.00
green onion,23 ,1.78,0.15,4.80,2.63,1.6,0
chili pepper,19 ,1.0,0.1,4.4,0,0,3 
eggplant ,19 ,1.13,0.03,4.36,2.32,2.7,0
sugar,389,0,0,99.77,97.81,0,0
salt,27 ,4.42,0.04,2.21,0,0,34971
garlic,128 ,7.45,0.16,26.42,0.23,3.8,3 
soy sauce,103 ,9.15,0,16.54,0,0.8,4783
vinegar ,165 ,0.62,0.04,40.42,33.67,0,25 
butter,760 ,0.52,81.00,4.11,0.66,0,13 
mushroom,15 ,2.60,0.14,4.70,0.74,2.9,2 
spinach,29 ,3.35,0.39,4.86,0.40,3.1,23 
carrot,31 ,1.02,0.13,7.03,6.23,3.1,23 
onion,29 ,0.95,0.04,6.67,5.74,1.7,3 
glass noodles,358 ,0.08,0.07,88.75,0,1.7,8 
cooking oil,920 ,0,99.92,0.08,0,0,0 
pepper,362 ,12.87,5.00,66.33,0.65,25.6,6 
chicken,115 ,24.0,1.4,0.1,0,0,58 
milk,67 ,3.09,3.85,4.86,4.81,0,40 
rice cake,213 ,3.71,0.37,48.80,0.09,0.7,261 
red chili paste,205 ,3.66,1.38,51.76,21.84,5.2,2486
red pepper powder,319 ,13.29,8.40,60.62,17.45,37.7,13 
